title,link,description,provider
Автоматизация и цифровизация технологических процессов в сельской энергетике,https://online.edu.ru/public/course.xhtml?faces-redirect=true&cid=11198064,курс посвящен изучению основных принципов построения систем автоматического управления технических и программных средств автоматизации и цифровизации технологических процессов в сельской энергетике методов анализа и синтеза автоматических систем управления технологическими процессами сельскохозяйственного производства,MOOPED - Портал онлайн-образования Поволжского РЦКОО
Автоматизация юридической работы,https://www.udemy.com/course/qnoeiirm/,"Автоматизация без программирования, в простом визуальном конструкторе",Udemy
Автоматика и электронное приборостроение,https://online.edu.ru/public/course.xhtml?faces-redirect=true&cid=604059,"курс знакомит слушателей имеющих среднее образование но не связанных с инженерными науками с некоторыми возможностями автоматики и электронного приборостроения направлениями их развития и практическими приложениями курс состоит из 7 модулей примерно одинакового объема в курсе рассказывается об автоматизированных системах управления на примере гироскопов природоохранной технике и технологиях энерго и ресурсосбережении и минимизации антропогенного воздействия на окружающую среду о принципах построения системы воздушных сигналов вертолета стандартизации и метрологии защиты в чрезвычайных ситуациях истории оптики как науки энерго и электроснабжении различных объектов
данный материал в основном предназначен для выпускников средних школ с целью оказания им помощи при выборе будущей профессии позволяет грамотно сориентироваться в различных направлениях инженерной подготовки в области автоматики и электронного приборостроения",Образование на русском
Автоматические инструменты измерений и методы анализа данных,https://online.edu.ru/public/course.xhtml?faces-redirect=true&cid=11215770,курс автоматические инструменты измерений и методы анализа данных наземного агроэкологического мониторинга тематически находится в русле общемировых тенденций образования науки и практики  изучение глобальных изменений природной среды с использованием автоматических инструментов наземных наблюдений уникальность курса обусловлена не только актуальной тематической направленностью но и инфраструктурным обеспечением  приборная база для проведения мониторинга которой нет аналогов в россии учебный курс был апробирован в рамках реализации совместной образовательной программы при поддержке фонда daad в сотрудничестве с учеными университета им мартина лютера галлевиттенберг фргв процессе обучения слушатели получают представление о базовых принципах организации наземного агрометеорологического мониторинга осваивают методы построения моделей климатических трендов методов и моделей оценки актуальной и потенциальной эвапотранспирации предлагаемый курс соответствует требованиям образовательных программ по направлениям география биология экология и природопользование а также прикладных профилей в области мониторинга природных процессов и устойчивого развитиярабочая программа дисциплиныразработка онлайн курс поддержана индустриальными партнерами алтайского края ооо вирт производство продукции животноводства и растениеводство ооо кх партнер растениеводство и животноводства индустриальный партнеры участвовали в обсуждении модулей оказывают поддержку инфраструктуры и содержание автоматических метео и лизиметрической станций в стационарах полуямки и дружба программа курсамодуль 1 общие положения организации агрометеорологического мониторингавведение в агрометеорологический мониторинг особенности организации инструментальных наблюдениймодуль 2 метеорологические наблюденияавтоматические метеорологические станции и их применение в агрометеорологическом мониторинге агрометеорологические данныемодуль 3 мониторинг почвенногидрологических параметровтеория и методы изучения влагоудерживающей способности почв принципы методы и приборы для измерения почвенной влаги и доступности почвенной влаги растениям лизиметрический метод изучения водного баланса почвмодуль 4 введение в статистический анализ данных климатического и почвенногидрологического мониторингаданные агрометеорологического мониторинга как предмет исследования прикладной статистики оценка климатических изменений на основе анализа дескриптивной статистики оценка значимости климатических изменений на основе tкритерия стьюдентамодуль 5 анализ климатических трендовмодели трендов линейная модель оценка параметров линейного тренда в среде ms excel оценка качества модели линейного тренда критерии статистической значимости тренда и его коэффициентов оценка устойчивости тренда применение трендов для получения точечных и интервальных прогнозных оценокмодуль 6 оценка актуальной и потенциальной эвапотранспирации на основе климатических и лизиметрических данных модель оценки потенциальной эвапотранспирации фао 56 пенмана  монтейта использование программы eto calculator fao для оценки потенциальной эвапотранспирации по климатическим данным  сравнение различных вариантов оценки потенциальной эвапотранспирации лизиметрические измерения и принципы оценки актуальной эвапотранспирации на их основеформат обученияеженедельное изучение курса включает просмотр видеолекций с изложением теоретических положений работу с текстовыми материалами отработку практических навыков на тренировочных учебных заданиях прохождение тестовых заданий для проверки полученных знаний и навыковдля взаимодействия студентов с преподавателями используются форумы и чаты а также автоматизированные рассылки слушателям и адресные комментариина последней неделе проводится итоговое тестирование по результатам которого выдается сертификат общая оценка результатов обучения формируется с учетом результатов итогового тестирования и данных еженедельного контроляпрограммное обеспечение ms excel  eto calculator fao free softwareрезультаты обученияро1  формирование представлений о принципах организации агрометеорологического мониторинга с использованием автоматических метеорологических и почвенногидрологических станцийро2  получить представление о работе с автоматическими измерительными станциями нового поколения организации сбора обработки и хранения информацииро3  умение анализировать исходные данные выбирать адекватные методы анализа данныхро4  формирование навыков использования стандартных средств ms excel для анализа наблюдаемых климатических изменений и обработки данных почвенногидрологического мониторингаформируемые компетенцииперечень компетенций подлежит согласованию с образовательной организацией в соответствии со спецификой реализуемой  образовательной программымагистратура050402 география050405 прикладная гидрометеорология050406 экология и природопользование060401 биология060402 почвоведение010402 прикладная математика и информатика200402 природообустройство и водопользование350403 агрохимия и агропочвоведение350404 агрономиякомпетенции по направлениям050402 географияпк 1  способность формулировать проблемы задачи и методы комплексных и отраслевых географических научных исследований получать новые достоверные факты на основе наблюдений опытов научного анализа эмпирических данных обобщать полученные результаты в контексте ранее накопленных в науке знаний способность формулировать выводы и практические рекомендации на основе репрезентативных и оригинальных результатов исследований050405 прикладная гидрометеорологияпк2  участие в выполнении экспериментов проведении наблюдений и измерений составлении их описания и формулировке выводовпк3  умение анализировать обобщать и систематизировать с применением современных технологий результаты научноисследовательских работ имеющих гидрометеорологическую направленностьпк4  готовность использовать современные достижения науки и передовых технологий в научноисследовательских опытноконструкторских и полевых гидрометеорологических работахпк8  готовность эксплуатировать развивать и модернизировать информационные и коммуникационные гидрометеорологические системы и технологиипк9  знание методов гидрометеорологического прогнозирования основанных на эмпирических статистических аналоговых и динамических подходах050406 экология и природопользованиепк4  способностью использовать современные методы обработки и интерпретации экологической информации при проведении научных и производственных исследований060401 биологияпк3  способностью применять методические основы проектирования выполнения полевых и лабораторных биологических экологических исследований использовать современную аппаратуру и вычислительные комплексы в соответствии с направленностью профилем программы магистратуры060402 почвоведениепк1  способность использовать углубленные специализированные профессиональные теоретические и практические знания для проектирования и проведения почвенных и почвенноэкологических исследованийпк9  готовностью к практическому использованию углубленных специализированных знаний в области управления природными ресурсами010402 прикладная математика и информатикаопк4  способность использовать и применять углубленные знания в области прикладной математики и информатикипк1  способность проводить научные исследования и получать новые научные и прикладные результаты самостоятельно и в составе научного коллектива200402 природообустройство и водопользованиепк6  способностью формулировать цели и задачи исследований применять знания о методах исследования при изучении природных процессов при обследовании экспертизе и мониторинге состояния природных объектов объектов природообустройства и водопользования и влияния на окружающую среду антропогенной деятельностипк7  способностью разрабатывать и вести базы экспериментальных данных производить поиск и выбор методов и моделей для решения научноисследовательских задач проводить сравнение и анализ полученных результатов исследований выполнять математическое моделирование природных процессов350403 агрохимия и агропочвоведениепк1  способность ставить задачи выбирать методы научных исследованийпк3  способность самостоятельно выполнять научные исследования с использованием современных методов и технологийпк6  готовность применять разнообразные методологические подходы к проектированию агротехнологий и моделированию агроэкосистем оптимизации почвенных условий систем применения удобрений для различных сельскохозяйственных культурпк9  готовность использовать информационные технологии и системы в своей профессиональной деятельности350404 агрономияпк1  готовность использовать современные достижения мировой науки и передовой технологии в научноисследовательских работах готовностью использовать современные достижения мировой науки и передовой технологии в научноисследовательских работахпк8  способность разрабатывать адаптивноландшафтные системы земледелия для сельскохозяйственных организаций,Stepik
Автомобильные эксплуатационные материалы,https://online.edu.ru/public/course.xhtml?faces-redirect=true&cid=132252,онлайнкурс разработан в соответствии с примерной рабочей программой профессионального модуля пм01 техническое обслуживание и ремонт автотранспортных средств для специальности среднего профессионального образования 230207 техническое обслуживание и ремонт двигателей систем и агрегатов автомобилей курс включает учебные материалы для мдк 0102 автомобильные эксплуатационные материалы и рассчитан на 48 академических часов,Цифровой колледж Подмосковья
АГРОБИОЛОГИЧЕСКИЕ ОСНОВЫ РАСТЕНИЕВОДСТВА,https://online.edu.ru/public/course.xhtml?faces-redirect=true&cid=11197178,"при освоении онлайнкурса обучающиеся получат представление
о морфологических и биологических особенностях сельскохозяйственных культур
фотосинтезе растений и формированию урожая физиологических процессах и их значению для продукционного процесса
факторах жизни сельскохозяйственных растений и методах их регулирования
изучат современные экологически безопасные и ресурсосберегающие технологии возделывания сельскохозяйственных растений
сформируют навыки составления технологических схем возделывания полевых культур
разработки и биологического обоснования технологий посева сельскохозяйственных культур и ухода за ними в различных агробиологических условиях
формируемые компетенции и результаты обучения
онлайнкурс агробиологические основы растениеводства направлен на формирование у обучающихся профессиональной компетенции готовностью обосновать технологии посева сельскохозяйственных культур и ухода за ними",Stepik
АГРОЭКОЛОГИЯ (Сельскохозяйственная экология),https://online.edu.ru/public/course.xhtml?faces-redirect=true&cid=11213578,курс агроэкология сельскохозяйственная экология разработан с целью освоения студентами теоретических и практических знаний и приобретения умений и навыков в области агроэкологического обоснования устойчивого и рентабельного производства востребованной высококачественной сельскохозяйственной продукции посредством рационального использования потенциальных возможностей почв растений и животных в курсе рассматриваются вопросы разработки агроэкологических концепций развития и совершенствования сельскохозяйственного производства локальных систем агроэкологического мониторинга верификации и локализации нормативной базы по содержанию токсических веществ совершенствования способов и приёмов рекультивации и реабилитации техногеннозагрязнённых территорий с целью возвращения их в активное сельскохозяйственное использование для производства экологически безопасной продукциив результате освоения онлайнкурса агроэкология сельскохозяйственная экология обучающиеся овладеют следующими компетенциями1 опк1 способен решать типовые задачи профессиональной деятельности на основе знаний основных законов математических и естественных наук с применением информационнокоммуникационных технологий2 опк2 способен использовать нормативные правовые акты и оформлять специальную документацию в профессиональной деятельности3 опк3 способен создавать и поддерживать безопасные условия выполнения производственных процессов,Stepik
Адаптационный курс для поступающих в магистратуру на направление УТС,https://online.edu.ru/public/course.xhtml?faces-redirect=true&cid=11056471,адаптационный курс для абитуриентов поступающих магистратуру на направление управление в технических системах автоматика и мехатроникаадаптационный курс содержит лекционные материалы по следующим дисциплинаммикропроцессорная техника в мехатронике и робототехникеосновы электромеханики и электрические машинысистемы управления электроприводовтеория автоматического управленияэлектромагнитная обработка материалов,LETIteach
Административная и техническая поддержка онлайн-обучения,https://online.edu.ru/public/course.xhtml?faces-redirect=true&cid=4280,"о курсе административная и техническая поддержка онлайнобучения 
курс посвящен вопросам поддержки онлайнкурсов цель курса  обучить слушателя оказывать административную и организационную поддержку обучающимся при реализации mook анализировать результаты обучения и составлять рекомендации для усовершенствования онлайнкурсов 
на качество онлайнобучения напрямую влияет не только качество учебных материалов дизайн видео сложность и продуманность заданий в дистанционном обучении студенту крайне важна поддержка и обратная связь в курсе рассматриваются наиболее распространенные проблемы встречающиеся в онлайнобучении и пути их решения курс рассказывает о том как правильно поддерживать онлайнкурсы справляться с техническими и организационными ошибками оптимизировать работу команды курса

курс основан на опыте создания и эксплуатации онлайнкурсов на платформе лекториум и анализе работы других площадок авторы определяют несколько основных типов пользователей учат находить подход к каждому из них а также решать конфликтные ситуации в виртуальной среде курс помогает разобраться в том какую работу можно автоматизировать как распределить нагрузку и как использовать опыт поддержки курса для совершенствования образовательной программы по итогам обучения на курсе слушатели смогут грамотно подготовиться к запуску курса составить план административной и технической поддержки курса и коммуникации с командой курса и обучающимися",OpenProfession
Административное судопроизводство,https://online.edu.ru/public/course.xhtml?faces-redirect=true&cid=11080183,в результаты прохождения курса вы узнаете порядок рассмотрения и разрешения споров административных дел между гражданами либо юридическими лицами с одной стороны и органами государственной власти  с другой возникающих в определенной сфере  сфере государственного управления научитесь ориентироваться в системе действующих судов осуществляющих административное судопроизводство в рф сможете уверенно ориентироваться в административнопроцессуальном законодательстве а также находить необходимые правовые нормы и умело их применять в конкретных практических ситуациях при рассмотрении и разрешении административных дел,Росдистант
Азбука медицинских теорий,https://online.edu.ru/public/course.xhtml?faces-redirect=true&cid=131810,"курс ориентирован на широкую аудиторию слушателей интересующихся становлением современных наук о здоровье человека принципам диагностики и лечения болезней и взаимоотношением медицинских знаний и культурологических проблем а также на учителей биологии средних школ многие темы курса будут полезны клиническим ординаторам и аспирантам для определения места своей специализации в сложившейся системе медицинских знаний

в импровизационной манере будут охарактеризованы основные теоретические течения в медикобиологических науках расположение материалов курса в алфавитном порядке обусловлено концепцией связывающей медицинские знания с развитием общечеловеческой культуры исторической перспективой а также особенностями восприятия теоретического материала основой курса является связь медицины культуры и философии в ходе занятий будет сделана попытка выделить специфические черты медицинского познания природы во второй трети курса на примере ретроспективной диагностики будет определено значение  творческого аспекта в деятельности врача

слушатели познакомятся со  спецификой медицинского познания мира и человека основными понятиями теоретической медицины  гуманитарным и естественнонаучным подходами в системе медицинских знаний убедятся в неразрывности связи культуры и медицины кроме того будут представлены древнейшие медицинские учения а также подробно разобраны особенности традиционных медицинских течений особое место занимают занятия связанные с местом медицины в художественном творчестве леонардо да винчи виктора гюго ганса гольбейнамладшего ап чехова федора достоевского александра беляева и др

в курсе предусмотрено проведение зачета а также тестирование в онлайн режиме в конце каждого занятия",Открытое образование
